	Unnamed: 0	t	Vhall	err_Vhall	I_fuente	B	err_B	Vdiodo	err_Vdiodo	frec_TTL	DVdiodo	Mnorm	tipo	Hc
0	0	0.0	0.394970281	0.001	0.0	0.002646101643183789	0.0049667683710992	0.014417	0	600	0.0005965999999999992	0.7588399898244704	comienzo	0.0019621045265800045
1	1	0.47461438179016113	0.395296442	0.001	0.008	0.004058798450726313	0.0049677410929457	0.0143944	0	600	0.0005739999999999999	0.7300941236326626	comienzo	0.0019621045265800045
2	2	0.8782272338867188	0.395708301	0.001	0.016	0.005842677867510464	0.0049689702697224	0.0144762	0	600	0.0006557999999999998	0.8341388959552265	comienzo	0.0019621045265800045
3	3	1.2799968719482422	0.395887034	0.001	0.023	0.006616821736650673	0.0049695039948216	0.0145004	0	600	0.00068	0.8649198677181371	comienzo	0.0019621045265800045
4	4	1.6820080280303955	0.396228706	0.001	0.031	0.00809670113249105	0.0049705247927117	0.014473	0	600	0.0006525999999999997	0.8300686848130234	comienzo	0.0019621045265800045
5	5	2.0883219242095947	0.396584255	0.001	0.039	0.009636685794130122	0.004971587762449	0.0145557999999999	0	600	0.0007353999999999	0.9353853981173992	comienzo	0.0019621045265800045
6	6	2.491105318069458	0.397116748	0.001	0.047	0.011943065652969757	0.0049731810916361	0.0145562	0	600	0.0007358	0.9358941745103018	comienzo	0.0019621045265800045
7	7	2.892841339111328	0.397287623	0.001	0.054	0.012683174271071788	0.0049736927297823	0.0145412	0	600	0.0007208000000000006	0.9168150597812259	comienzo	0.0019621045265800045
8	8	3.3041458129882812	0.397610445	0.001	0.062	0.014081408912260278	0.0049746597883393	0.0145656	0	600	0.0007451999999999997	0.9478504197405226	comienzo	0.0019621045265800045
9	9	3.6949665546417236	0.398137774	0.001	0.07	0.01636542200648216	0.0049762407608474	0.0145218	0	600	0.0007013999999999996	0.8921394047316191	comienzo	0.0019621045265800045
10	10	4.0983757972717285	0.398155071	0.001	0.07	0.01644034027286056	0.0049762926455495	0.0145972	0	600	0.0007767999999999994	0.9880437547697769	bajada	0.0019621045265800045
11	11	4.500197887420654	0.398117159	0.001	0.067	0.016276132530770974	0.0049761789255909	0.0146066	0	600	0.0007862000000000008	1.0	bajada	0.0019621045265800045
12	12	4.902559757232666	0.397745341	0.001	0.064	0.014665682165500897	0.0049750640651791	0.0145542	0	600	0.0007337999999999997	0.9333502925464245	bajada	0.0019621045265800045
13	13	5.306539297103882	0.397664433	0.001	0.061	0.014315246419643428	0.0049748215752688	0.0145516	0	600	0.0007311999999999996	0.9300432459933845	bajada	0.0019621045265800045
14	14	5.707578182220459	0.397738923	0.001	0.059	0.014637883967338665	0.0049750448283784	0.014551	0	600	0.0007305999999999997	0.9292800814042215	bajada	0.0019621045265800045
15	15	6.110708951950073	0.397688407	0.001	0.056	0.014419084687443899	0.0049748934239944	0.0145639999999999	0	600	0.0007435999999998999	0.9458153141692942	bajada	0.0019621045265800045
16	16	6.5126965045928955	0.397405993	0.001	0.053	0.01319586867999533	0.0049740472543366	0.0145204	0	600	0.0006999999999999992	0.8903586873569047	bajada	0.0019621045265800045
17	17	6.9156341552734375	0.397307089	0.001	0.05	0.012767487098343404	0.0049737510259855	0.0145574	0	600	0.0007369999999999998	0.9374205036886276	bajada	0.0019621045265800045
18	18	7.318192005157471	0.397292869	0.001	0.047	0.012705896201199877	0.0049737084401346	0.0145467999999999	0	600	0.0007263999999998997	0.923937929279953	bajada	0.0019621045265800045
19	19	7.719868421554565	0.396940033	0.001	0.044	0.011177662320428931	0.0049726521433993	0.0145332	0	600	0.0007127999999999995	0.9066395319257172	bajada	0.0019621045265800045
20	20	8.12277340888977	0.396851643	0.001	0.041	0.010794819887339761	0.0049723876392298	0.0145437999999999	0	600	0.0007233999999999002	0.9201221063341383	bajada	0.0019621045265800045
21	21	8.526547193527222	0.396890836	0.001	0.039	0.010964576007716158	0.0049725049174612	0.0145586	0	600	0.0007381999999999996	0.9389468328669535	bajada	0.0019621045265800045
22	22	8.927895307540894	0.396926211	0.001	0.036	0.011117795275398905	0.0049726107785613	0.0145023999999999	0	600	0.0006819999999998997	0.8674637496818862	bajada	0.0019621045265800045
23	23	9.330062866210938	0.396588957	0.001	0.033	0.009657051504283302	0.0049716018246828	0.0145218	0	600	0.0007013999999999996	0.8921394047316191	bajada	0.0019621045265800045
24	24	9.73447060585022	0.396407075	0.001	0.03	0.0088692684132654	0.0049710579641686	0.0145062	0	600	0.0006858000000000003	0.8722971254133802	bajada	0.0019621045265800045
25	25	10.135240316390991	0.396483651	0.001	0.027	0.00920094102505619	0.0049712869172875	0.0145188	0	600	0.0006984000000000001	0.8883235817858044	bajada	0.0019621045265800045
26	26	10.538224935531616	0.396158397	0.001	0.024	0.007792172694567327	0.0049703146788855	0.0145128	0	600	0.0006923999999999993	0.8806919358941727	bajada	0.0019621045265800045
27	27	10.940254926681519	0.395874836	0.001	0.021	0.006563988701252958	0.0049694675638178	0.014472	0	600	0.0006516000000000004	0.8287967438310859	bajada	0.0019621045265800045
28	28	11.341495990753174	0.395882244	0.001	0.019	0.006596074873266515	0.0049694896887261	0.0145127999999999	0	600	0.0006923999999999004	0.8806919358940468	bajada	0.0019621045265800045
29	29	11.746130466461182	0.395876895	0.001	0.016	0.006572906820607065	0.0049694737132444	0.0144736	0	600	0.0006531999999999996	0.8308318494021865	bajada	0.0019621045265800045
30	30	12.14696741104126	0.395508971	0.001	0.013	0.00497932248582033	0.0049683752554157	0.0144538	0	600	0.0006333999999999992	0.805647417959805	bajada	0.0019621045265800045
31	31	12.554612398147583	0.395357875	0.001	0.01	0.004324882387732425	0.0049679243753541	0.01441	0	600	0.0005895999999999992	0.7499364029509012	bajada	0.0019621045265800045
32	32	12.956165790557861	0.395408244	0.001	0.007	0.0045430449684797855	0.0049680746650529	0.014458	0	600	0.0006376000000000003	0.8109895700839478	bajada	0.0019621045265800045
33	33	13.356028079986572	0.395268149	0.001	0.004	0.003936253355586665	0.0049676566894427	0.014432	0	600	0.0006116000000000003	0.7779191045535483	bajada	0.0019621045265800045
34	34	13.758744955062866	0.395048179	0.001	0.001	0.002983500216017447	0.0049670006334744	0.0143795999999999	0	600	0.0005591999999999004	0.7112693970998472	bajada	0.0019621045265800045
35	35	14.167360544204712	0.395061458	0.001	-0.001	0.0030410153723583397	0.0049670402299161	0.0143626	0	600	0.0005421999999999996	0.68964640040702	bajada	0.0019621045265800045
36	36	14.562986612319946	0.395083812	0.001	-0.004	0.003137836955673816	0.0049671068892511	0.0143101999999999	0	600	0.0004897999999998997	0.6229966929533188	bajada	0.0019621045265800045
37	37	14.966367959976196	0.3947499	0.001	-0.007	0.001691568344772458	0.0049661114675975	0.0142736	0	600	0.0004531999999999991	0.5764436530144983	bajada	0.0019621045265800045
38	38	15.367977380752563	0.394538051	0.001	-0.01	0.0007739895846479092	0.0049654802597258	0.0143017999999999	0	600	0.00048139999999989927	0.6123123887050352	bajada	0.0019621045265800045
39	39	15.770051002502441	0.394577534	0.001	-0.013	0.0009450017781722428	0.0049655978804201	0.0142922	0	600	0.00047179999999999965	0.6001017552785541	bajada	0.0019621045265800045
40	40	16.17406678199768	0.394269538	0.001	-0.016	-0.000389017206120508	0.0049646805921508	0.014209	0	600	0.00038859999999999936	0.4942762655812758	bajada	0.0019621045265800045
41	41	16.574936389923096	0.394093168	0.001	-0.019	-0.0011529262447436198	0.0049641555649366	0.0141254	0	600	0.0003049999999999997	0.38794199949122277	bajada	0.0019621045265800045
42	42	16.978158712387085	0.394109766	0.001	-0.021	-0.00108103554778239	0.0049642049670628	0.0141281999999999	0	600	0.0003077999999998998	0.3915034342405235	bajada	0.0019621045265800045
43	43	17.382505178451538	0.394139972	0.001	-0.024	-0.0009502047011491557	0.0049642948759853	0.0141124	0	600	0.0002920000000000006	0.37140676672602435	bajada	0.0019621045265800045
