	Unnamed: 0	t	Vhall	err_Vhall	I_fuente	B	err_B	Vdiodo	err_Vdiodo	frec_TTL	DVdiodo	Mnorm	tipo	Hc
0	0	0.0	0.432264198	0.001	0.0	0.0018218261715401002	0.0050818719163344	0.1180109999999999	0	600	0.0008229999999999488	0.2250478534317577	comienzo	0.014894669440715484
1	1	0.3849978446960449	0.432532807	0.001	0.007	0.002985248765833018	0.0050827287051535	0.118763	0	600	0.0015750000000000486	0.43068088597211585	comienzo	0.014894669440715484
2	2	0.788273811340332	0.432769059	0.001	0.014	0.004008523915760745	0.0050834826045131	0.1187509999999999	0	600	0.0015629999999999533	0.42739950779325464	comienzo	0.014894669440715484
3	3	1.1926133632659912	0.432938494	0.001	0.021	0.00474239548098794	0.0050840234699955	0.118587	0	600	0.001399000000000053	0.3825540060158694	comienzo	0.014894669440715484
4	4	1.5932538509368896	0.433436865	0.001	0.029	0.006900983174403089	0.0050856152487468	0.119586	0	600	0.002398000000000053	0.6557287394038886	comienzo	0.014894669440715484
5	5	1.9964325428009033	0.433900219	0.001	0.036	0.008907902200779819	0.0050870963797457	0.118632	0	600	0.0014440000000000563	0.39485917418650174	comienzo	0.014894669440715484
6	6	2.398766040802002	0.433950219	0.001	0.043	0.009124466536728007	0.0050872562757008	0.119536	0	600	0.0023480000000000584	0.6420563303254108	comienzo	0.014894669440715484
7	7	2.8006842136383057	0.434369112	0.001	0.05	0.010938812224293229	0.005088596387822	0.1188709999999999	0	600	0.0016829999999999484	0.460213289581604	comienzo	0.014894669440715484
8	8	3.2046377658843994	0.434792964	0.001	0.057	0.012774636762697925	0.0050899533210465	0.118779	0	600	0.0015910000000000507	0.4350560568772297	comienzo	0.014894669440715484
9	9	3.6068499088287354	0.434885168	0.001	0.064	0.013173998723332761	0.0050902486331801	0.119076	0	600	0.0018880000000000563	0.5162701668033993	comienzo	0.014894669440715484
10	10	4.008089542388916	0.435160732	0.001	0.071	0.014367545416756403	0.0050911314840839	0.1186	0	600	0.001412000000000052	0.3861088323762738	comienzo	0.014894669440715484
11	11	4.413141489028931	0.435703998	0.001	0.079	0.01672058622741908	0.0050928731867268	0.119358	0	600	0.0021700000000000608	0.5933825540060245	comienzo	0.014894669440715484
12	12	4.813176393508911	0.436156407	0.001	0.086	0.01868009932065702	0.0050943248063045	0.119194	0	600	0.0020060000000000494	0.5485370522286088	comienzo	0.014894669440715484
13	13	5.2168803215026855	0.436244893	0.001	0.093	0.019063357557271135	0.0050946088541541	0.119862	0	600	0.0026740000000000513	0.7312004375170946	comienzo	0.014894669440715484
14	14	5.618413925170898	0.436529539	0.001	0.1	0.020296240996676	0.0050955228762085	0.1192429999999999	0	600	0.0020549999999999596	0.5619360131254942	comienzo	0.014894669440715484
15	15	6.020909309387207	0.437034915	0.001	0.107	0.022485169353557224	0.0050971467452156	0.1196609999999999	0	600	0.0024729999999999613	0.6762373530215828	comienzo	0.014894669440715484
