	Unnamed: 0	t	Vhall	err_Vhall	I_fuente	B	err_B	Vdiodo	err_Vdiodo	frec_TTL	DVdiodo	Mnorm	tipo	Hc
0	0	0.0	0.711954599	0.001	0.0	-0.00024135766119352266	0.0061500910431885	0.0160289	0	600	0.00042344999999999796	0.5118766999093352	comienzo	0.0016764245786591624
1	1	0.31635284423828125	0.712047619	0.001	0.002	0.00016153862940445339	0.0061504947727765	0.016024	0	600	0.0004185499999999993	0.5059534602598961	comienzo	0.0016764245786591624
2	2	0.6365363597869873	0.71210633	0.001	0.004	0.00041583280396158815	0.0061507496064076	0.0160303	0	600	0.00042485000000000005	0.5135690540948923	comienzo	0.0016764245786591624
3	3	1.0302770137786865	0.712408353	0.001	0.007	0.0017239810126818604	0.0061520606948604	0.0161553999999999	0	600	0.000549949999999899	0.6647929888182513	comienzo	0.0016764245786591624
4	4	1.4328513145446777	0.712475943	0.001	0.009	0.0020167326820161504	0.0061523541423879	0.0161381	0	600	0.0005326499999999982	0.6438803263825903	comienzo	0.0016764245786591624
5	5	1.8368313312530518	0.712466381	0.001	0.011	0.001975316918409539	0.0061523126273402	0.0162022	0	600	0.0005967499999999992	0.7213659715926246	comienzo	0.0016764245786591624
6	6	2.2514448165893555	0.712462436	0.001	0.013	0.0019582299923035142	0.0061522954995331	0.0161732	0	600	0.0005677499999999979	0.6863100634632788	comienzo	0.0016764245786591624
7	7	2.6433913707733154	0.712433833	0.001	0.015	0.0018343421982804557	0.0061521713167442	0.0161907999999999	0	600	0.0005853499999999004	0.7075853732244182	comienzo	0.0016764245786591624
8	8	3.041992425918579	0.712763092	0.001	0.017	0.003260457332078878	0.0061536009776112	0.0162493	0	600	0.0006438500000000005	0.7783016016923541	comienzo	0.0016764245786591624
9	9	3.444843292236328	0.71279366	0.001	0.02	0.0033928561045039798	0.0061537337222217	0.0162401	0	600	0.0006346499999999996	0.7671804170444232	comienzo	0.0016764245786591624
10	10	3.849050283432007	0.712804326	0.001	0.022	0.0034390536086483427	0.006153780041064	0.0162373	0	600	0.0006318499999999989	0.7637957086733131	comienzo	0.0016764245786591624
11	11	4.250357627868652	0.712687118	0.001	0.024	0.0029313921548923174	0.0061532710651403	0.0162749	0	600	0.0006694499999999977	0.8092475067996339	comienzo	0.0016764245786591624
