	Unnamed: 0	t	Vhall	err_Vhall	I_fuente	B	err_B	Vdiodo	err_Vdiodo	frec_TTL	DVdiodo	Mnorm	tipo	Hc
0	0	0.0	0.736015023	0.001	0.0	0.00207612548434935	0.0062553790426712	0.0075838	0	600	0.0004272999999999998	0.7712996389891691	comienzo	0.0019739232741830463
1	1	0.21919035911560059	0.736234803	0.001	0.006	0.003028055679442448	0.0062563486184794	0.0075301	0	600	0.00037359999999999954	0.6743682310469303	comienzo	0.0019739232741830463
2	2	0.6232783794403076	0.736225085	0.001	0.0121	0.0029859642351071354	0.0062563057438586	0.0075505	0	600	0.0003939999999999998	0.7111913357400717	comienzo	0.0019739232741830463
3	3	1.0256249904632568	0.73646828	0.001	0.0181	0.004039311508724747	0.0062573787720769	0.0075675	0	600	0.0004109999999999995	0.7418772563176883	comienzo	0.0019739232741830463
4	4	1.4275832176208496	0.736701405	0.001	0.0241	0.005049042725082692	0.006258407529202	0.0076008999999999	0	600	0.0004443999999999	0.8021660649817686	comienzo	0.0019739232741830463
5	5	1.8306217193603516	0.736941147	0.001	0.0302	0.006087434065659397	0.00625946564964	0.0076132999999999	0	600	0.0004567999999999001	0.8245487364619131	comienzo	0.0019739232741830463
6	6	2.2341578006744385	0.73719054	0.001	0.0362	0.007167626654360798	0.0062605665410131	0.0076399	0	600	0.0004833999999999997	0.8725631768953059	comienzo	0.0019739232741830463
7	7	2.635275363922119	0.73731179	0.001	0.0422	0.0076927951690351215	0.0062611018374906	0.0076434	0	600	0.00048689999999999975	0.878880866425992	comienzo	0.0019739232741830463
8	8	3.038090467453003	0.737543293	0.001	0.0483	0.008695501038334302	0.006262123998082	0.0076525	0	600	0.0004959999999999995	0.8953068592057749	comienzo	0.0019739232741830463
9	9	3.443878412246704	0.73773055	0.001	0.0543	0.009506564795466882	0.0062629509109394	0.0076686	0	600	0.0005121000000000001	0.9243682310469312	comienzo	0.0019739232741830463
10	10	3.847140312194824	0.737969906	0.001	0.0603	0.01054328425937004	0.0062640080357085	0.0076612	0	600	0.0005046999999999999	0.9110108303249091	comienzo	0.0019739232741830463
11	11	4.2475786209106445	0.738363066	0.001	0.0664	0.01224617294579658	0.0062657447985332	0.0076668	0	600	0.0005102999999999996	0.9211191335740061	comienzo	0.0019739232741830463
12	12	4.650080919265747	0.738499092	0.001	0.0724	0.012835340553029734	0.0062663457892135	0.0076801	0	600	0.0005235999999999995	0.9451263537906125	comienzo	0.0019739232741830463
13	13	5.0508177280426025	0.738802231	0.001	0.0784	0.014148322477728598	0.0062676853101481	0.0076714	0	600	0.0005149	0.9294223826714798	comienzo	0.0019739232741830463
14	14	5.454526424407959	0.738811247	0.001	0.0845	0.014187373358786753	0.0062677251543893	0.0076837	0	600	0.0005271999999999998	0.9516245487364614	comienzo	0.0019739232741830463
15	15	5.855552911758423	0.739138992	0.001	0.0905	0.015606930924492196	0.0062691737098828	0.0076798999999999	0	600	0.0005233999999999001	0.944765342960108	comienzo	0.0019739232741830463
16	16	6.257850408554077	0.739392942	0.001	0.0965	0.016706861186772254	0.0062702963204277	0.0076919999999999	0	600	0.0005354999999999002	0.9666064981947653	comienzo	0.0019739232741830463
17	17	6.662415504455566	0.739512894	0.001	0.1026	0.017226407691284723	0.0062708266440385	0.0076745	0	600	0.0005179999999999998	0.9350180505415155	comienzo	0.0019739232741830463
18	18	7.063574314117432	0.739793376	0.001	0.1086	0.01844125565279245	0.0062720668526192	0.0076709	0	600	0.0005143999999999995	0.9285198555956666	comienzo	0.0019739232741830463
19	19	7.465880393981934	0.739966939	0.001	0.1146	0.01919300676959515	0.0062728344096421	0.0076787	0	600	0.0005222	0.942599277978339	comienzo	0.0019739232741830463
20	20	7.869772911071777	0.740252127	0.001	0.1207	0.020428237766401597	0.0062740957989111	0.0076837999999999	0	600	0.0005272999999999003	0.9518050541514442	comienzo	0.0019739232741830463
21	21	8.271004915237427	0.740650887	0.001	0.1267	0.02215538165845435	0.0062758599077835	0.0076968	0	600	0.0005403000000000001	0.9752707581227433	comienzo	0.0019739232741830463
22	22	8.673566818237305	0.740783886	0.001	0.1327	0.022731438460789316	0.0062764483945285	0.0076843999999999	0	600	0.0005278999999999002	0.9528880866424188	comienzo	0.0019739232741830463
23	23	9.07783818244934	0.740943925	0.001	0.1388	0.023424613256004118	0.0062771565933101	0.0076803999999999	0	600	0.0005238999999998997	0.9456678700359196	comienzo	0.0019739232741830463
24	24	9.478480577468872	0.741095418	0.001	0.1448	0.024080772874920636	0.0062778270419602	0.0076893999999999	0	600	0.0005328999999999	0.9619133574005412	comienzo	0.0019739232741830463
25	25	9.882277011871338	0.741406414	0.001	0.1508	0.025427785719370127	0.0062792035934508	0.0076982	0	600	0.0005416999999999996	0.9777978339350168	comienzo	0.0019739232741830463
26	26	10.283696413040161	0.741836677	0.001	0.1569	0.027291378136930194	0.006281108507027	0.0077007999999999	0	600	0.0005442999999999	0.9824909747290609	comienzo	0.0019739232741830463
27	27	10.686320066452026	0.741889913	0.001	0.1629	0.02752195851670039	0.006281344236686	0.0077019	0	600	0.0005454000000000001	0.9844765342960287	comienzo	0.0019739232741830463
28	28	11.089781761169434	0.742104643	0.001	0.1689	0.028452015713862827	0.0062822951456524	0.0076924	0	600	0.0005359000000000002	0.9673285198555956	comienzo	0.0019739232741830463
