	Unnamed: 0	t	Vhall	err_Vhall	I_fuente	B	err_B	Vdiodo	err_Vdiodo	frec_TTL	DVdiodo	Mnorm	tipo	Hc
0	0	0.0	0.736214555	0.001	0.0	0.001601435229262629	0.0062562592871008	0.0075782999999999	0	600	0.0004103999999999497	0.7397260273972364	comienzo	0.0016337597377639559
1	1	0.22089457511901855	0.736470132	0.001	0.006	0.002708412495033654	0.0062573869441495	0.0075315999999999	0	600	0.0003636999999999495	0.655551550108115	comienzo	0.0016337597377639559
2	2	0.6242830753326416	0.736549193	0.001	0.0121	0.0030508483543217136	0.0062577358152593	0.0075728	0	600	0.00040490000000005	0.7298125450614392	comienzo	0.0016337597377639559
3	3	1.0284442901611328	0.736817689	0.001	0.0181	0.004213781513215311	0.0062589207372538	0.0075521999999999	0	600	0.00038429999999994944	0.6926820475846867	comienzo	0.0016337597377639559
4	4	1.430124044418335	0.736909238	0.001	0.0241	0.004610306481049689	0.006259324807182	0.0075865	0	600	0.0004186000000000502	0.7545061283346934	comienzo	0.0016337597377639559
5	5	1.8325886726379395	0.737214457	0.001	0.0302	0.005932297482123685	0.0062606721268282	0.0076224	0	600	0.0004545000000000495	0.8192141312186203	comienzo	0.0016337597377639559
6	6	2.234262704849243	0.737552653	0.001	0.0362	0.007397121325328806	0.0062621653287476	0.007633	0	600	0.00046510000000004985	0.8383201153570508	comienzo	0.0016337597377639559
7	7	2.6374192237854004	0.737667953	0.001	0.0422	0.007896518684025447	0.0062626744760773	0.0076529999999999	0	600	0.00048509999999995015	0.8743691420331541	comienzo	0.0016337597377639559
8	8	3.0403921604156494	0.738046385	0.001	0.0483	0.009535616179654741	0.0062643458427611	0.0076510999999999	0	600	0.00048319999999995016	0.8709444844989074	comienzo	0.0016337597377639559
9	9	3.4423892498016357	0.738114671	0.001	0.0543	0.009831382424545768	0.0062646474755938	0.0076584	0	600	0.0004905000000000499	0.8841023792359304	comienzo	0.0016337597377639559
10	10	3.8463356494903564	0.738356683	0.001	0.0603	0.010879605785974614	0.0062657165984377	0.0076626	0	600	0.0004947000000000501	0.8916726748379502	comienzo	0.0016337597377639559
