	t	Vhall	err_Vhall	I_fuente	B	err_B	Vdiodo	err_Vdiodo	frec_TTL
0	1744823621.4753954	0.735949555	0.001	0.0	3.2812961789144284	0.006255090252635551	0.007603499999999999	0	600
1	1744823621.6968315	0.736223774	0.001	0.006	3.282483900027215	0.006256299959908711	0.0075721999999999986	0	600
2	1744823622.1005323	0.736300913	0.001	0.0121	3.2828180111534286	0.006256640294890539	0.0075709	0	600
3	1744823622.5039458	0.736606172	0.001	0.0181	3.2841401754059714	0.006257987256668729	0.0075972999999999995	0	600
4	1744823622.905489	0.73681307	0.001	0.0241	3.285036309965551	0.006258900351007224	0.0076089	0	600
5	1744823623.3078501	0.736950289	0.001	0.0302	3.2856306447978403	0.006259506001859772	0.0076379	0	600
6	1744823623.7113569	0.737353772	0.001	0.0362	3.287378245357066	0.006261287190159485	0.0076538	0	600
7	1744823624.113679	0.737423551	0.001	0.0422	3.2876804782130282	0.0062615952792077515	0.0076644	0	600
8	1744823624.517409	0.737714908	0.001	0.0483	3.288942428917604	0.006262881833185823	0.0076883	0	600
9	1744823624.921287	0.737774788	0.001	0.0543	3.2892017863663354	0.006263146277335513	0.007666600000000001	0	600
10	1744823625.3215435	0.738043164	0.001	0.0603	3.2903641997708237	0.006264331615294597	0.007707	0	600
11	1744823625.7327957	0.738426676	0.001	0.0664	3.2920253002029853	0.006266025833913705	0.007671	0	600
12	1744823626.1250815	0.738515967	0.001	0.0724	3.292412045125408	0.006266420350113553	0.0076792	0	600
13	1744823626.528509	0.738714338	0.001	0.0784	3.2932712468031347	0.006267296898452159	0.0076642	0	600
14	1744823626.9314613	0.738877844	0.001	0.0845	3.293979438169405	0.006268019472488328	0.0076687000000000005	0	600
15	1744823627.332972	0.739075812	0.001	0.0905	3.294836894338584	0.006268894445264752	0.007660800000000001	0	600
16	1744823627.737673	0.739626697	0.001	0.0965	3.2972229352227584	0.006271329820169107	0.007671800000000001	0	600
17	1744823628.139394	0.739722399	0.001	0.1026	3.2976374480243362	0.0062717529920168925	0.0076616	0	600
18	1744823628.5408304	0.739893117	0.001	0.1086	3.298376876630424	0.006272507932100986	0.007653600000000001	0	600
19	1744823628.9436526	0.739996642	0.001	0.1146	3.298825273088004	0.006272965775452776	0.007622300000000001	0	600
20	1744823629.345156	0.740280631	0.001	0.1207	3.3000553108720347	0.0062742218851523516	0.0076317	0	600
21	1744823629.748407	0.74067935	0.001	0.1267	3.3017822771813314	0.006275985845072395	0.007644	0	600
22	1744823630.1517382	0.740761767	0.001	0.1327	3.302139248838848	0.006276350520079945	0.0076377	0	600
23	1744823630.5549495	0.741020377	0.001	0.1388	3.3032593628972386	0.006277494931719924	0.0076376	0	600
24	1744823630.9559357	0.741178028	0.001	0.1448	3.3039421945797693	0.0062781926690240655	0.007656600000000001	0	600
25	1744823631.3594787	0.741436922	0.001	0.1508	3.305063538723588	0.006279338644869209	0.007638300000000001	0	600
26	1744823631.7605586	0.741781804	0.001	0.1569	3.3065573215497963	0.0062808655371576465	0.0076508999999999995	0	600
27	1744823632.1631258	0.741932231	0.001	0.1629	3.3072088640170696	0.00628153162706381	0.0076493	0	600
28	1744823632.5680628	0.742306114	0.001	0.1689	3.3088282584894144	0.006283187457860129	0.0076837	0	600
29	1744823632.9690037	0.742382305	0.001	0.175	3.3091582635558185	0.006283524936812055	0.0076793	0	600
