	t	Vhall	err_Vhall	I_fuente	B	err_B	Vdiodo	err_Vdiodo	frec_TTL
0	1744406560.9159467	0.433016371	0.001	0.0	1.9692057023229455	0.005084272118401816	0.11789799999999999	0	600
1	1744406561.2455237	0.433362893	0.001	0.007	1.9707065884593729	0.005085378900649317	0.117937	0	600
2	1744406561.6491356	0.433507942	0.001	0.015	1.9713348372666712	0.005085842374676132	0.11806100000000001	0	600
3	1744406562.0518925	0.433800584	0.001	0.022	1.972602353674681	0.005086777795030906	0.11849600000000002	0	600
4	1744406562.453748	0.434301666	0.001	0.029	1.974772683486391	0.005088380552761895	0.11862750000000002	0	600
5	1744406562.8571475	0.434736921	0.001	0.036	1.976657897687252	0.0050897738480465155	0.119258	0	600
6	1744406563.2607057	0.434875923	0.001	0.044	1.9772599552037609	0.005090219021125926	0.1190075	0	600
7	1744406563.6621885	0.435113051	0.001	0.051	1.9782870245608544	0.005090978694820757	0.1183215	0	600
8	1744406564.0640657	0.43565714	0.001	0.058	1.9806436300204868	0.005092722898535585	0.11924699999999999	0	600
9	1744406564.468218	0.436099969	0.001	0.066	1.9825616493869571	0.005094143657181775	0.118702	0	600
10	1744406564.8680587	0.436196589	0.001	0.073	1.9829801383097432	0.005094453788882902	0.11952049999999999	0	600
11	1744406565.2719727	0.436591809	0.001	0.08	1.9846919494468105	0.005095722887986625	0.11908800000000001	0	600
12	1744406565.673827	0.437041774	0.001	0.087	1.9866408768753072	0.005097168793847329	0.11873399999999998	0	600
13	1744406566.0770354	0.437472282	0.001	0.095	1.9885055304581134	0.0050985531868925375	0.11881250000000002	0	600
14	1744406566.4800053	0.437627501	0.001	0.102	1.9891778284513435	0.005099052569729522	0.1188955	0	600
15	1744406566.8820155	0.437933516	0.001	0.109	1.9905032671566463	0.0051000374809350366	0.1192055	0	600
16	1744406567.284867	0.438430443	0.001	0.117	1.9926556004720388	0.0051016379046406185	0.11881900000000001	0	600
17	1744406567.6880343	0.438598651	0.001	0.124	1.9933841575484617	0.005102179939631874	0.11933	0	600
18	1744406568.08918	0.438920012	0.001	0.131	1.9947760641797536	0.0051032159140940395	0.11867399999999999	0	600
19	1744406568.491526	0.439478094	0.001	0.139	1.997193277334444	0.00510501631091623	0.11835099999999998	0	600
20	1744406568.8962884	0.440005208	0.001	0.146	1.999476359202022	0.00510671832050259	0.11938	0	600
21	1744406569.2962763	0.44013907	0.001	0.153	2.0000561539047954	0.005107150784804661	0.11897749999999999	0	600
22	1744406569.7004569	0.440414268	0.001	0.16	2.0012481153472796	0.005108040157567721	0.11928699999999999	0	600
23	1744406570.10146	0.440884397	0.001	0.168	2.0032843788411774	0.005109560427145826	0.11943250000000001	0	600
24	1744406570.5058703	0.441041924	0.001	0.175	2.0039666734441552	0.005110070088243171	0.11943699999999999	0	600
25	1744406570.9100275	0.440973352	0.001	0.175	2.0036696684512627	0.005109848215030359	0.11923400000000002	0	600
26	1744406571.3198802	0.441019009	0.001	0.168	2.0038674220089905	0.005109995941151652	0.11974900000000002	0	600
27	1744406571.712403	0.440733432	0.001	0.161	2.00263050614165	0.005109072119835548	0.1192785	0	600
28	1744406572.1170282	0.440345079	0.001	0.154	2.0009484379504814	0.005107816517870248	0.11858199999999999	0	600
29	1744406572.517536	0.440140468	0.001	0.146	2.0000622090436284	0.005107155301785862	0.11914099999999998	0	600
30	1744406572.9198272	0.439896817	0.001	0.139	1.999006886703267	0.005106368214222186	0.11865050000000002	0	600
31	1744406573.3216627	0.439476232	0.001	0.132	1.9971852124785734	0.005105010301275863	0.119418	0	600
32	1744406573.7257466	0.439100456	0.001	0.125	1.9955576188804693	0.005103797853489022	0.119178	0	600
33	1744406574.1278727	0.43899943	0.001	0.118	1.9951200463083998	0.0051034720191481305	0.1191635	0	600
34	1744406574.5298798	0.438661117	0.001	0.111	1.9936547157046483	0.005102381268915121	0.11882000000000001	0	600
35	1744406574.9319093	0.438197505	0.001	0.104	1.9916466792062977	0.005100887531394266	0.11867949999999998	0	600
36	1744406575.335931	0.437973019	0.001	0.096	1.9906743659759054	0.0051001646578951445	0.1191285	0	600
37	1744406575.7363799	0.437635953	0.001	0.089	1.9892144364866924	0.005099079765853555	0.1183275	0	600
38	1744406576.139643	0.437300839	0.001	0.082	1.9877629616691548	0.005098001755994727	0.11966550000000001	0	600
39	1744406576.5434256	0.436863178	0.001	0.075	1.985867326392448	0.005096594768929903	0.1192425	0	600
40	1744406576.9454398	0.43672344	0.001	0.068	1.9852620810489139	0.005096145755945331	0.118492	0	600
41	1744406577.3477657	0.436409271	0.001	0.061	1.9839013250317048	0.005095136632896158	0.11934749999999998	0	600
42	1744406577.751801	0.435863357	0.001	0.054	1.9815368149738106	0.0050933843884041555	0.11940999999999999	0	600
43	1744406578.1517339	0.435717332	0.001	0.046	1.9809043388306744	0.005092915955158874	0.11888450000000002	0	600
44	1744406578.5558536	0.435410122	0.001	0.039	1.9795737242377427	0.005091930828839635	0.1191475	0	600
45	1744406578.9573963	0.434987259	0.001	0.032	1.977742183341903	0.005090575664579879	0.11862249999999999	0	600
46	1744406579.3590202	0.434764	0.001	0.025	1.9767751846003148	0.005089860564171034	0.11852999999999998	0	600
47	1744406579.7632148	0.434434653	0.001	0.018	1.9753486883132854	0.005088806149997532	0.1183235	0	600
48	1744406580.1639671	0.433912047	0.001	0.011	1.9730851318862368	0.005087134203522944	0.11882350000000001	0	600
49	1744406580.5692883	0.433415066	0.001	0.004	1.9709325646813611	0.0050855455956639855	0.11842549999999999	0	600
50	1744406580.9731567	0.433200831	0.001	-0.004	1.9700046514711247	0.005084861198621715	0.1187355	0	600
51	1744406581.3733904	0.432890891	0.001	-0.011	1.9686622124654503	0.005083871497510166	0.1189235	0	600
52	1744406581.77581	0.432139069	0.001	-0.018	1.9654058558218281	0.00508147292167285	0.11808549999999998	0	600
53	1744406582.1823483	0.431702923	0.001	-0.025	1.9635167824445008	0.005080082855826518	0.11782300000000001	0	600
54	1744406582.5796864	0.431530649	0.001	-0.032	1.9627706143562784	0.005079534073521379	0.1179685	0	600
55	1744406582.983908	0.431113268	0.001	-0.039	1.9609628175742322	0.005078205160512614	0.1179315	0	600
56	1744406583.385384	0.430572013	0.001	-0.046	1.9586184869811614	0.005076483238938864	0.117513	0	600
57	1744406583.7871892	0.430461165	0.001	-0.054	1.9581383725109383	0.0050761307875347664	0.117609	0	600
58	1744406584.1919	0.430035029	0.001	-0.061	1.9562926553136675	0.005074776466287691	0.11719900000000001	0	600
59	1744406584.5920904	0.429542345	0.001	-0.068	1.9541586996478233	0.005073211868010603	0.11671399999999998	0	600
60	1744406584.9955447	0.429418189	0.001	-0.075	1.9536209444139443	0.005072817797290548	0.11650699999999999	0	600
61	1744406585.397428	0.429119795	0.001	-0.082	1.9523285144447269	0.00507187103654524	0.11666499999999999	0	600
62	1744406585.800907	0.42849212	0.001	-0.089	1.9496098740534036	0.00506988108721303	0.11542750000000002	0	600
63	1744406586.2036393	0.427900017	0.001	-0.096	1.9470453061932473	0.005068005868788961	0.11493800000000001	0	600
64	1744406586.6050794	0.427668571	0.001	-0.104	1.9460428472072908	0.005067273384752332	0.115171	0	600
65	1744406587.0074944	0.427240956	0.001	-0.111	1.9441907240369627	0.005065920826138717	0.11480550000000003	0	600
66	1744406587.4113882	0.426761197	0.001	-0.118	1.942112750251961	0.005064404515870939	0.11437100000000003	0	600
67	1744406587.8128028	0.426635765	0.001	-0.125	1.9415694682962286	0.005064008285812045	0.11470550000000002	0	600
68	1744406588.2151752	0.426201255	0.001	-0.132	1.9396874809039732	0.005062636363174574	0.11490300000000002	0	600
69	1744406588.6195865	0.425730511	0.001	-0.139	1.937648553668743	0.005061151193902453	0.1142595	0	600
70	1744406589.0192766	0.425297403	0.001	-0.146	1.9357726387404677	0.005059785829230802	0.1142865	0	600
71	1744406589.4239123	0.425121857	0.001	-0.154	1.935012298682101	0.005059232714778171	0.11448050000000001	0	600
72	1744406589.8261082	0.4248648	0.001	-0.161	1.9338989111119853	0.005058423076531775	0.11457650000000001	0	600
73	1744406590.2274282	0.424315307	0.001	-0.168	1.9315188993789238	0.005056693576981964	0.11430449999999999	0	600
74	1744406590.633237	0.424163435	0.001	-0.175	1.930861098202342	0.005056215858621695	0.11485699999999999	0	600
75	1744406591.036565	0.42413227	0.001	-0.175	1.9307261136517455	0.005056117843658862	0.11420699999999999	0	600
76	1744406591.4374657	0.424124276	0.001	-0.168	1.9306914893457143	0.005056092703117049	0.114865	0	600
77	1744406591.8398361	0.424419594	0.001	-0.161	1.9319705962769842	0.0050570216880540825	0.11434550000000002	0	600
78	1744406592.2402196	0.424764461	0.001	-0.154	1.9334643141338916	0.005058107142056654	0.1147665	0	600
79	1744406592.6438763	0.424882945	0.001	-0.146	1.933977502309501	0.0050584802150229	0.1139905	0	600
80	1744406593.0478475	0.425155206	0.001	-0.139	1.9351567427628917	0.005059337778671598	0.11453150000000001	0	600
