	t	Vhall	err_Vhall	I_fuente	B	err_B	Vdiodo	err_Vdiodo	frec_TTL
0	1744660013.0642624	0.724168711	0.001	0.0	3.230269965759088	0.006203325877103406	0.018075299999999996	0	600
1	1744660013.2865944	0.72418436	0.001	0.003	3.230337746064953	0.006203394368089405	0.01821	0	600
2	1744660013.6911383	0.724412514	0.001	0.006	3.2313259464550304	0.006204393012006547	0.0179842	0	600
3	1744660014.0939367	0.724493232	0.001	0.009	3.231675559256412	0.006204746356427083	0.018211399999999996	0	600
4	1744660014.496863	0.724378235	0.001	0.012	3.231177474277591	0.006204242960922583	0.018026	0	600
5	1744660014.8979518	0.724444948	0.001	0.015	3.2314664274084732	0.006204534990081173	0.0181859	0	600
6	1744660015.300608	0.724651611	0.001	0.017	3.2323615441156734	0.006205439719122427	0.018325699999999997	0	600
7	1744660015.704775	0.72468973	0.001	0.02	3.232526648434114	0.006205606610214019	0.018106499999999998	0	600
8	1744660016.1066988	0.724716579	0.001	0.023	3.232642939151231	0.006205724162014425	0.0180047	0	600
9	1744660016.508903	0.72508429	0.001	0.026	3.2342356009219464	0.006207334309096745	0.018168399999999998	0	600
10	1744660016.910427	0.725158759	0.001	0.029	3.234558147512621	0.006207660445402175	0.0180173	0	600
11	1744660017.3137517	0.725196599	0.001	0.032	3.2347220434020665	0.0062078261716044	0.017955199999999998	0	600
12	1744660017.7174592	0.725309118	0.001	0.035	3.235209395452397	0.006208318991122878	0.018024400000000003	0	600
13	1744660018.1193185	0.725499615	0.001	0.038	3.236034492578499	0.006209153429885833	0.018038199999999997	0	600
14	1744660018.5214546	0.725518396	0.001	0.041	3.2361158384743676	0.006209235702562021	0.0180559	0	600
15	1744660018.9253156	0.725462012	0.001	0.044	3.2358716232040057	0.0062089887080521875	0.018072599999999998	0	600
16	1744660019.325859	0.725820064	0.001	0.047	3.237422449076303	0.006210557341915674	0.0182477	0	600
17	1744660019.7293918	0.725865471	0.001	0.05	3.2376191198123503	0.006210756297990307	0.0180535	0	600
18	1744660020.1333048	0.725892938	0.001	0.052	3.23773808726466	0.006210876650806971	0.018010900000000003	0	600
19	1744660020.5336602	0.726165551	0.001	0.055	3.238918852330976	0.006212071286207201	0.0180484	0	600
20	1744660020.9372275	0.72625887	0.001	0.058	3.2393230436763027	0.0062124802758112075	0.018299100000000002	0	600
21	1744660021.3382833	0.726305004	0.001	0.061	3.239522863257795	0.006212682476968486	0.0183105	0	600
22	1744660021.7431514	0.726293275	0.001	0.064	3.2394720615958685	0.006212631069226592	0.0180911	0	600
23	1744660022.1469805	0.726601402	0.001	0.067	3.2408066479787214	0.006213981711987908	0.0179842	0	600
24	1744660022.547265	0.72665317	0.001	0.07	3.2410308700295887	0.006214208659047703	0.0180842	0	600
25	1744660022.9562273	0.726766438	0.001	0.07	3.2415214662136718	0.006214705245012012	0.018193400000000002	0	600
26	1744660023.3507922	0.726646204	0.001	0.067	3.2410006982863044	0.006214178120163221	0.0181822	0	600
27	1744660023.7535517	0.726410619	0.001	0.064	3.2399803121046182	0.006213145401557704	0.0181286	0	600
28	1744660024.1567698	0.726340511	0.001	0.061	3.2396766542553252	0.006212838105209019	0.018196900000000002	0	600
29	1744660024.5589476	0.726512445	0.001	0.059	3.240421349706063	0.006213591749526079	0.018152599999999998	0	600
30	1744660024.961534	0.726355726	0.001	0.056	3.239742554782754	0.006212904794143375	0.018177699999999998	0	600
31	1744660025.3646321	0.726278011	0.001	0.053	3.2394059488353903	0.006212564168326075	0.018216200000000002	0	600
32	1744660025.7658613	0.726129568	0.001	0.05	3.2387629996409677	0.006211913590197058	0.0182236	0	600
33	1744660026.1683326	0.72622349	0.001	0.047	3.2391698027521856	0.006212325212708507	0.0181553	0	600
34	1744660026.5708592	0.725897889	0.001	0.044	3.2377595314652057	0.006210898344959483	0.018229299999999997	0	600
35	1744660026.9737144	0.725821771	0.001	0.041	3.237429842582732	0.006210564821225717	0.0180991	0	600
36	1744660027.3771951	0.725745834	0.001	0.039	3.2371009376631545	0.006210232107578906	0.0181631	0	600
37	1744660027.7786145	0.72573203	0.001	0.036	3.2370411485812856	0.006210171627962597	0.018091999999999997	0	600
