	t	Vhall	err_Vhall	I_fuente	B	err_B	Vdiodo	err_Vdiodo	frec_TTL
0	1744663891.3983803	0.735032668	0.001	0.0	3.277324878428541	0.006251047013565837	0.0125638	0	600
1	1744663891.6189692	0.734957906	0.001	0.002	3.277001062770858	0.006250717439126682	0.012673800000000002	0	600
2	1744663891.9916098	0.735105773	0.001	0.004	3.2776415171441307	0.0062513692990400285	0.0125921	0	600
3	1744663892.3927846	0.735294936	0.001	0.007	3.278460836333749	0.006252203301149754	0.012670599999999999	0	600
4	1744663892.7954202	0.73537419	0.001	0.009	3.2788041081313737	0.006252552755390256	0.012864200000000001	0	600
5	1744663893.1973693	0.735309163	0.001	0.011	3.2785224575499	0.006252266030849788	0.012798700000000001	0	600
6	1744663893.6005788	0.735352947	0.001	0.013	3.2787120986076026	0.006252459086964672	0.012867899999999998	0	600
7	1744663894.0032902	0.735324427	0.001	0.015	3.278588570310378	0.00625233333354085	0.012903900000000001	0	600
8	1744663894.405072	0.735442426	0.001	0.017	3.2790996578119285	0.006252853642547405	0.012939299999999997	0	600
9	1744663894.8078911	0.735683443	0.001	0.02	3.2801435715430722	0.006253916516374719	0.012925899999999999	0	600
10	1744663895.2111943	0.735731496	0.001	0.022	3.2803517028637783	0.00625412844792083	0.0127892	0	600
11	1744663895.6128595	0.735790009	0.001	0.024	3.280605139443565	0.0062543865209377615	0.0128996	0	600
12	1744663896.0158944	0.735930464	0.001	0.026	3.281213490319676	0.006255006041444935	0.0129716	0	600
13	1744663896.4170394	0.735994313	0.001	0.028	3.281490038645395	0.006255287686144205	0.013000500000000002	0	600
14	1744663896.8338695	0.736010958	0.001	0.031	3.281562132912833	0.006255361110932825	0.0130331	0	600
15	1744663897.2256413	0.736043409	0.001	0.033	3.281702687498149	0.00625550426179121	0.012967300000000001	0	600
16	1744663897.6244626	0.736433004	0.001	0.035	3.283390135147423	0.0062572231162764695	0.0129439	0	600
17	1744663898.0271928	0.736484359	0.001	0.037	3.2836125683768747	0.006257449722058752	0.0130805	0	600
18	1744663898.4310794	0.736438281	0.001	0.039	3.2834129913474386	0.006257246400878392	0.013053700000000001	0	600
19	1744663898.831859	0.736548457	0.001	0.042	3.283890195192987	0.00625773256744182	0.0130186	0	600
20	1744663899.2352626	0.736497105	0.001	0.044	3.2836677749573946	0.006257505965418083	0.0130467	0	600
21	1744663899.6393545	0.7367904	0.001	0.046	3.284938119695632	0.006258800296428652	0.013015600000000002	0	600
22	1744663900.039759	0.736838571	0.001	0.048	3.2851467621081714	0.006259012902038467	0.013010700000000004	0	600
23	1744663900.443691	0.736823572	0.001	0.05	3.2850817971386737	0.006258946702332677	0.013003299999999999	0	600
24	1744663900.8448637	0.736757529	0.001	0.052	3.2847957459698933	0.006258655222123592	0.013061600000000001	0	600
25	1744663901.247779	0.736741737	0.001	0.052	3.2847273462900275	0.006258585526127912	0.0130205	0	600
26	1744663901.6510994	0.736855205	0.001	0.05	3.285218808731454	0.0062590863187503495	0.0130471	0	600
27	1744663902.053473	0.736809595	0.001	0.048	3.2850212587442025	0.006258885013916955	0.013013199999999999	0	600
28	1744663902.4549994	0.736819201	0.001	0.046	3.285062865084425	0.006258927410574106	0.013027500000000001	0	600
29	1744663902.8593626	0.73668473	0.001	0.044	3.2844804326280395	0.006258333938912395	0.013101200000000002	0	600
30	1744663903.2612648	0.736634212	0.001	0.042	3.284261624685571	0.006258110997216295	0.013053799999999999	0	600
31	1744663903.6631186	0.73647213	0.001	0.04	3.283559601071589	0.006257395760467982	0.012957	0	600
32	1744663904.0674477	0.736516848	0.001	0.037	3.283753287551087	0.00625759308486065	0.0131363	0	600
33	1744663904.4678402	0.736557332	0.001	0.035	3.283928635362617	0.006257771731105926	0.0130355	0	600
34	1744663904.8706205	0.736309299	0.001	0.033	3.282854333323854	0.006256677294707161	0.013073699999999999	0	600
35	1744663905.2719243	0.736099171	0.001	0.031	3.2819442087081723	0.006255750251382207	0.013028800000000002	0	600
36	1744663905.6742582	0.736002472	0.001	0.029	3.2815253776137356	0.006255323677203937	0.0129763	0	600
37	1744663906.0793157	0.736073953	0.001	0.027	3.2818349823196935	0.006255639003087585	0.0130614	0	600
38	1744663906.479871	0.736071568	0.001	0.025	3.2818246522008683	0.0062556284818412475	0.0130579	0	600
39	1744663906.88321	0.735922637	0.001	0.022	3.281179589338527	0.006254971516527925	0.0129714	0	600
40	1744663907.2891424	0.735842109	0.001	0.02	3.280830799481623	0.006254616317571648	0.0130067	0	600
