	t	Vhall	err_Vhall	I_fuente	B	err_B	Vdiodo	err_Vdiodo	frec_TTL
0	1744409534.857381	0.394970281	0.001	0.0	1.8044171779975862	0.004966768371099268	0.014417000000000003	0	600
1	1744409535.3319957	0.395296442	0.001	0.008	1.8058298748051291	0.004967741092945728	0.014394400000000002	0	600
2	1744409535.7356083	0.395708301	0.001	0.016	1.807613754221913	0.004968970269722468	0.0144762	0	600
3	1744409536.137378	0.395887034	0.001	0.023	1.8083878980910533	0.004969503994821632	0.0145004	0	600
4	1744409536.5393891	0.396228706	0.001	0.031	1.8098677774868936	0.004970524792711767	0.014473	0	600
5	1744409536.945703	0.396584255	0.001	0.039	1.8114077621485332	0.004971587762449001	0.014555799999999999	0	600
6	1744409537.3484864	0.397116748	0.001	0.047	1.8137141420073724	0.0049731810916361615	0.0145562	0	600
7	1744409537.7502224	0.397287623	0.001	0.054	1.8144542506254746	0.004973692729782371	0.0145412	0	600
8	1744409538.1615267	0.397610445	0.001	0.062	1.8158524852666627	0.004974659788339314	0.014565600000000001	0	600
9	1744409538.5523477	0.398137774	0.001	0.07	1.8181364983608852	0.00497624076084743	0.014521800000000001	0	600
10	1744409538.955757	0.398155071	0.001	0.07	1.8182114166272632	0.004976292645549555	0.0145972	0	600
11	1744409539.357579	0.398117159	0.001	0.067	1.8180472088851738	0.004976178925590974	0.014606600000000003	0	600
12	1744409539.7599409	0.397745341	0.001	0.064	1.8164367585199035	0.00497506406517914	0.0145542	0	600
13	1744409540.1639204	0.397664433	0.001	0.061	1.816086322774046	0.004974821575268882	0.014551600000000001	0	600
14	1744409540.5649593	0.397738923	0.001	0.059	1.8164089603217415	0.004975044828378466	0.014551	0	600
15	1744409540.96809	0.397688407	0.001	0.056	1.8161901610418465	0.004974893423994443	0.014563999999999999	0	600
16	1744409541.3700776	0.397405993	0.001	0.053	1.814966945034398	0.004974047254336622	0.0145204	0	600
17	1744409541.7730153	0.397307089	0.001	0.05	1.814538563452746	0.004973751025985553	0.014557400000000003	0	600
18	1744409542.175573	0.397292869	0.001	0.047	1.8144769725556023	0.004973708440134686	0.014546799999999999	0	600
19	1744409542.5772495	0.396940033	0.001	0.044	1.8129487386748315	0.004972652143399374	0.014533200000000001	0	600
20	1744409542.9801545	0.396851643	0.001	0.041	1.8125658962417424	0.00497238763922984	0.014543799999999999	0	600
21	1744409543.3839283	0.396890836	0.001	0.039	1.8127356523621188	0.004972504917461288	0.0145586	0	600
22	1744409543.7852764	0.396926211	0.001	0.036	1.8128888716298017	0.004972610778561336	0.014502399999999999	0	600
23	1744409544.187444	0.396588957	0.001	0.033	1.811428127858686	0.004971601824682849	0.014521800000000001	0	600
24	1744409544.5918515	0.396407075	0.001	0.03	1.8106403447676678	0.00497105796416868	0.0145062	0	600
25	1744409544.9926214	0.396483651	0.001	0.027	1.8109720173794588	0.0049712869172875915	0.014518800000000002	0	600
26	1744409545.395606	0.396158397	0.001	0.024	1.8095632490489701	0.004970314678885506	0.014512800000000001	0	600
27	1744409545.797636	0.395874836	0.001	0.021	1.8083350650556553	0.0049694675638178865	0.014472000000000002	0	600
28	1744409546.198877	0.395882244	0.001	0.019	1.8083671512276693	0.0049694896887261895	0.014512799999999998	0	600
29	1744409546.6035116	0.395876895	0.001	0.016	1.8083439831750097	0.004969473713244406	0.0144736	0	600
30	1744409547.0043483	0.395508971	0.001	0.013	1.806750398840223	0.004968375255415735	0.0144538	0	600
31	1744409547.4119937	0.395357875	0.001	0.01	1.806095958742135	0.0049679243753541205	0.014410000000000001	0	600
32	1744409547.8135467	0.395408244	0.001	0.007	1.8063141213228824	0.004968074665052911	0.014458000000000002	0	600
33	1744409548.2134092	0.395268149	0.001	0.004	1.8057073297099895	0.004967656689442737	0.014432	0	600
